vin,ign_on_time,trip_match_key,t,latitude,longitude,ems11_n,ems11_vs,ems12_brake_act,tcu12_cur_gr,ems11_tqi_acor,mdps_sas11_fs_sas_angle,sas_sas11_fs_sas_angle,sas11_fs_sas_speed,esp12_lat_accel,esp12_long_accel,ems12_pv_av_can
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,88,42.18141111,-71.86373888888889,1164.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2400000000000002,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,89,42.18141111,-71.86373888888889,1163.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.25,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,90,42.18141111,-71.86373888888889,1172.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.2699999999999996,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,91,42.18141111,-71.86373888888889,1150.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.23000000000000043,0.049999999999998934,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,92,42.18141111,-71.86373888888889,1153.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.2599999999999998,0.0,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,93,42.18141111,-71.86373888888889,1150.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.25,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,94,42.18141111,-71.86373888888889,1140.0,0.0,1.0,0.0,9.765625,29.3,29.3,0.0,0.25,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,95,42.18141111,-71.86373888888889,1170.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.2699999999999996,0.02999999999999936,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,96,42.18141111,-71.86373888888889,1158.0,0.0,1.0,0.0,9.375,29.3,29.3,0.0,0.25,0.049999999999998934,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,97,42.18141111,-71.86373888888889,1175.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.23000000000000043,0.049999999999998934,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,98,42.18141111,-71.86373888888889,1167.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.25,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,99,42.18141111,-71.86373888888889,1154.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.23000000000000043,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,100,42.18141111,-71.86373888888889,1144.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.2599999999999998,0.019999999999999574,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,101,42.18141111,-71.86373888888889,1148.0,0.0,1.0,0.0,8.984375,29.400000000000002,29.400000000000002,0.0,0.2599999999999998,-0.009999999999999787,0.0
5NMS5CAA5KH018550,2019-03-14 10:51:32.587,20190314081504741,102,42.18141111,-71.86373888888889,1145.0,0.0,1.0,0.0,8.984375,29.3,29.3,0.0,0.25,0.009999999999999787,0.0
